id,address,name,lat,lon,violations
"0",,"Комплекс по переработке твердых коммунальных отходов «Сплендер»
",54.384700,38.707636
"1",,"Комплекс по переработке твердых коммунальных отходов «Экоград» (Солопово)
",54.780524,38.753543
"2",,"Комплекс по переработке твердых коммунальных отходов «Егорьевск»
",55.409790,39.039744
"3",,"Комплекс по переработке твердых коммунальных отходов «Прогресс»
",55.672933,39.903679
"4",,"Юрьев-Польская свалка ТБО
",56.521938,39.692122
"5",,"Муромская городская свалка ТБО и промотходов
",55.486900,41.863614
"6",,"Комплекс по переработке и захоранению ТБО у д. Марьинка
",56.197664,40.993250
